date,day_of_week,carrier,fl_num,dest,sch_dep,sch_arr,arr_delay
2019-05-08,3,MQ,3779,DFW,17.25,19.733333333333334,92.0
2019-05-15,3,MQ,3779,DFW,17.25,19.733333333333334,-17.0
2019-05-22,3,MQ,3779,DFW,17.25,19.733333333333334,-3.0
2019-05-01,3,F9,159,DEN,18.75,20.216666666666665,12.0
2019-05-08,3,F9,159,DEN,18.75,20.216666666666665,9.0
2019-05-15,3,F9,159,DEN,18.75,20.216666666666665,-29.0
2019-05-22,3,YX,5904,LGA,17.416666666666668,20.75,-22.0
2019-05-22,3,YX,5909,LGA,6.0,9.316666666666666,-20.0
2019-05-22,3,YX,5998,DCA,17.25,20.2,-19.0
2019-05-29,3,YX,5909,LGA,6.0,9.316666666666666,-9.0
2019-05-29,3,YX,5998,DCA,17.25,20.2,30.0
2019-05-01,3,YX,3549,EWR,6.5,9.783333333333333,-24.0
2019-05-01,3,YX,3556,EWR,11.583333333333334,15.0,-19.0
2019-05-08,3,YX,3549,EWR,6.5,9.783333333333333,-26.0
2019-05-08,3,YX,3556,EWR,11.583333333333334,15.0,-14.0
2019-05-15,3,YX,3549,EWR,6.5,9.783333333333333,-14.0
2019-05-15,3,YX,3556,EWR,11.583333333333334,15.0,-2.0
2019-05-15,3,UA,465,DEN,16.583333333333332,18.083333333333332,-23.0
2019-05-15,3,UA,264,DEN,7.0,8.5,-10.0
2019-05-08,3,UA,465,DEN,16.583333333333332,18.083333333333332,-10.0
2019-05-08,3,UA,264,DEN,7.0,8.5,-4.0
2019-05-01,3,YV,5789,PHX,7.083333333333333,8.916666666666666,15.0
2019-05-01,3,YV,5851,DFW,13.366666666666667,15.816666666666666,71.0
2019-05-15,3,MQ,3899,ORD,20.433333333333334,21.383333333333333,-14.0
2019-05-22,3,MQ,3899,ORD,20.433333333333334,21.383333333333333,8.0
2019-05-01,3,MQ,3929,ORD,15.05,16.0,-17.0
2019-05-01,3,MQ,4002,ORD,18.7,19.666666666666668,-6.0
2019-05-01,3,MQ,4196,ORD,20.283333333333335,21.233333333333334,-11.0
2019-05-08,3,MQ,4199,ORD,8.466666666666667,9.416666666666666,2.0
2019-05-15,3,MQ,4199,ORD,8.466666666666667,9.416666666666666,-4.0
2019-05-22,3,MQ,4199,ORD,8.466666666666667,9.416666666666666,10.0
2019-05-29,3,MQ,4199,ORD,8.466666666666667,9.416666666666666,9.0
2019-05-01,3,MQ,3582,DFW,6.95,9.483333333333333,26.0
2019-05-08,3,MQ,3582,DFW,7.0,9.466666666666667,304.0
2019-05-15,3,MQ,3582,DFW,7.0,9.466666666666667,-26.0
2019-05-22,3,MQ,3582,DFW,7.0,9.466666666666667,13.0
2019-05-22,3,F9,159,DEN,18.75,20.216666666666665,148.0
2019-05-29,3,F9,159,DEN,18.75,20.216666666666665,-2.0
2019-05-01,3,OH,5478,PHL,6.366666666666666,9.616666666666667,10.0
2019-05-08,3,OH,5478,PHL,6.0,9.216666666666667,-19.0
2019-05-15,3,OH,5478,PHL,6.0,9.216666666666667,3.0
2019-05-22,3,OH,5478,PHL,6.0,9.216666666666667,-12.0
2019-05-29,3,OH,5478,PHL,6.0,9.216666666666667,-17.0
2019-05-01,3,OH,5593,PHL,13.816666666666666,17.066666666666666,-28.0
2019-05-08,3,OH,5593,PHL,14.333333333333334,17.566666666666666,-6.0
2019-05-15,3,OH,5593,PHL,14.333333333333334,17.566666666666666,-28.0
2019-05-22,3,OH,5593,PHL,14.333333333333334,17.566666666666666,-5.0
2019-05-29,3,OH,5593,PHL,14.333333333333334,17.566666666666666,233.0
2019-05-01,3,OH,5624,CLT,7.216666666666667,10.583333333333334,-4.0
2019-05-08,3,OH,5624,CLT,7.166666666666667,10.533333333333333,-14.0
2019-05-15,3,OH,5624,CLT,7.166666666666667,10.533333333333333,-11.0
2019-05-22,3,OH,5624,CLT,7.166666666666667,10.533333333333333,-4.0
2019-05-29,3,OH,5624,CLT,7.166666666666667,10.533333333333333,-11.0
2019-05-01,3,OH,5690,CLT,16.133333333333333,19.416666666666668,-8.0
2019-05-08,3,OH,5690,CLT,16.15,19.483333333333334,-4.0
2019-05-15,3,OH,5690,CLT,16.15,19.483333333333334,-8.0
2019-05-22,3,OH,5690,CLT,16.15,19.483333333333334,-20.0
2019-05-29,3,OH,5690,CLT,16.15,19.483333333333334,-5.0
2019-05-23,4,YX,3549,EWR,6.5,9.783333333333333,-12.0
2019-05-23,4,YX,3556,EWR,11.583333333333334,15.0,-13.0
2019-05-30,4,YX,3549,EWR,6.5,9.783333333333333,-19.0
2019-05-30,4,YX,3556,EWR,11.583333333333334,15.0,-19.0
2019-05-02,4,YX,5890,LGA,12.033333333333333,15.316666666666666,-10.0
2019-05-02,4,YX,5909,LGA,6.0,9.316666666666666,-8.0
2019-05-02,4,YX,5998,DCA,17.25,20.2,176.0
2019-05-09,4,YX,5890,LGA,12.033333333333333,15.316666666666666,4.0
2019-05-09,4,YX,5909,LGA,6.0,9.316666666666666,-10.0
2019-05-09,4,YX,5998,DCA,17.25,20.2,-8.0
2019-05-23,4,DL,1853,ATL,6.0,9.216666666666667,-1.0
2019-05-23,4,DL,2617,ATL,11.083333333333334,14.116666666666667,-14.0
2019-05-23,4,DL,2630,DTW,6.583333333333333,8.883333333333333,-17.0
2019-05-23,4,DL,2805,DTW,13.333333333333334,15.566666666666666,-20.0
2019-05-09,4,DL,1853,ATL,6.0,9.216666666666667,-15.0
2019-05-09,4,DL,2617,ATL,11.083333333333334,14.116666666666667,-7.0
2019-05-09,4,DL,2630,DTW,6.583333333333333,8.883333333333333,-15.0
2019-05-09,4,DL,2805,DTW,13.333333333333334,15.566666666666666,-8.0
2019-05-09,4,DL,377,MSP,15.5,16.6,-7.0
2019-05-09,4,DL,608,DTW,17.366666666666667,19.566666666666666,4.0
2019-05-09,4,DL,1291,ATL,17.016666666666666,20.4,-3.0
2019-05-09,4,DL,1386,MSP,6.583333333333333,7.683333333333334,9.0
2019-05-02,4,OO,3574,MSP,18.583333333333332,19.75,-9.0
2019-05-02,4,OO,3577,MSP,11.616666666666667,12.783333333333333,-16.0
2019-05-02,4,OO,3796,LGA,17.416666666666668,20.75,151.0
2019-05-02,4,OO,3876,DTW,9.133333333333333,11.433333333333334,-7.0
2019-05-02,4,OO,4037,MSP,9.433333333333334,10.65,16.0
2019-05-02,4,OO,4046,DTW,19.55,21.833333333333332,-2.0
2019-05-02,4,OO,4082,MSP,17.366666666666667,18.583333333333332,-19.0
2019-05-02,4,OO,4585,SLC,18.75,20.916666666666668,2.0
2019-05-02,4,OO,5468,DEN,19.666666666666668,21.333333333333332,10.0
2019-05-02,4,OO,5780,SFO,15.333333333333334,18.266666666666666,-19.0
2019-05-02,4,OO,5864,ORD,13.7,14.783333333333333,33.0
2019-05-02,4,OO,5962,LAX,15.2,17.85,4.0
2019-05-23,4,OO,3176,ORD,5.416666666666667,6.366666666666666,-1.0
2019-05-23,4,OO,3244,ORD,14.966666666666667,15.966666666666667,1.0
2019-05-23,4,OO,3574,MSP,18.583333333333332,19.75,-7.0
2019-05-23,4,OO,3577,MSP,11.616666666666667,12.783333333333333,-15.0
2019-05-23,4,OO,3796,LGA,17.416666666666668,20.75,91.0
2019-05-23,4,OO,3876,DTW,9.133333333333333,11.433333333333334,-12.0
2019-05-23,4,OO,4037,MSP,9.433333333333334,10.65,-8.0
2019-05-23,4,OO,4046,DTW,19.55,21.833333333333332,-13.0
2019-05-23,4,OO,4082,MSP,17.366666666666667,18.583333333333332,-9.0
2019-05-23,4,OO,4585,SLC,18.75,20.916666666666668,2.0
2019-05-23,4,OO,5468,DEN,19.666666666666668,21.333333333333332,12.0
2019-05-23,4,OO,5780,SFO,15.333333333333334,18.266666666666666,0.0
2019-05-23,4,OO,5864,ORD,13.833333333333334,14.916666666666666,71.0
2019-05-23,4,OO,5962,LAX,15.2,17.85,21.0
2019-05-30,4,UA,2211,ORD,6.0,7.0,-14.0
2019-05-30,4,UA,465,DEN,16.583333333333332,18.083333333333332,-28.0
2019-05-30,4,UA,264,DEN,7.0,8.5,-26.0
2019-05-16,4,UA,465,DEN,16.583333333333332,18.083333333333332,-17.0
2019-05-16,4,UA,264,DEN,7.0,8.5,-6.0
2019-05-09,4,UA,2211,ORD,6.0,7.0,-6.0
2019-05-09,4,UA,1531,ORD,16.166666666666668,17.15,9.0
2019-05-09,4,UA,465,DEN,16.583333333333332,18.083333333333332,-2.0
2019-05-09,4,UA,264,DEN,7.0,8.5,2.0
2019-05-23,4,UA,2211,ORD,6.0,7.0,-13.0
2019-05-23,4,UA,1531,ORD,16.166666666666668,17.15,52.0
2019-05-23,4,UA,465,DEN,16.583333333333332,18.083333333333332,-6.0
2019-05-23,4,UA,264,DEN,7.0,8.5,1.0
2019-05-02,4,UA,2211,ORD,6.0,7.0,-15.0
2019-05-02,4,UA,1531,ORD,16.15,17.133333333333333,14.0
2019-05-02,4,UA,264,DEN,7.0,8.5,16.0
2019-05-02,4,DL,377,MSP,15.5,16.6,10.0
2019-05-02,4,DL,608,DTW,17.366666666666667,19.566666666666666,0.0
2019-05-02,4,DL,1291,ATL,17.016666666666666,20.4,-27.0
2019-05-02,4,DL,1386,MSP,6.583333333333333,7.683333333333334,-11.0
2019-05-02,4,DL,1853,ATL,6.0,9.216666666666667,-9.0
2019-05-02,4,DL,2617,ATL,11.083333333333334,14.116666666666667,-10.0
2019-05-02,4,DL,2630,DTW,6.583333333333333,8.883333333333333,-2.0
2019-05-02,4,DL,2805,DTW,13.333333333333334,15.566666666666666,-16.0
2019-05-16,4,DL,377,MSP,15.5,16.6,-17.0
2019-05-16,4,DL,608,DTW,17.366666666666667,19.566666666666666,0.0
